epoch,accuracy,loss,lr,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.011751878075301647,4.801150321960449,0.001,0.05530651658773422,0.015471512451767921,4.723263263702393,0.08153241872787476
1,0.015992246568202972,4.724003791809082,0.001,0.07360067963600159,0.022838899865746498,4.679450988769531,0.09774066507816315
2,0.02132299542427063,4.681416034698486,0.001,0.08450448513031006,0.023084478452801704,4.626863956451416,0.10510805249214172
3,0.021625878289341927,4.644660949707031,0.001,0.0961352065205574,0.02922396920621395,4.569641590118408,0.12401767820119858
4,0.026169130578637123,4.613803863525391,0.001,0.10825054347515106,0.0333988219499588,4.529265880584717,0.14341846108436584
5,0.026290282607078552,4.5889506340026855,0.001,0.11055245995521545,0.03290766105055809,4.528910160064697,0.14317288994789124
6,0.025381634011864662,4.571045398712158,0.001,0.11230918020009995,0.037328094244003296,4.495827674865723,0.15348723530769348
7,0.02822873741388321,4.548090934753418,0.001,0.11812454462051392,0.02996070683002472,4.498833179473877,0.14685657620429993
8,0.02719893306493759,4.552132606506348,0.001,0.12006299942731857,0.04027504846453667,4.470486640930176,0.15692535042762756
9,0.03271141275763512,4.529576301574707,0.001,0.12624181807041168,0.036836933344602585,4.496825218200684,0.16011787950992584
10,0.031984493136405945,4.509130954742432,0.001,0.13278409838676453,0.04125736653804779,4.451068878173828,0.17018663883209229
11,0.033680640161037445,4.513247489929199,0.001,0.13036103546619415,0.0417485274374485,4.4350666999816895,0.16183693706989288
12,0.030046038329601288,4.508216857910156,0.001,0.12660528719425201,0.04052062705159187,4.46414852142334,0.1588899791240692
13,0.03174218535423279,4.486720561981201,0.001,0.1369638890028,0.04371316358447075,4.421583652496338,0.18492141366004944
14,0.03180276229977608,4.489977836608887,0.001,0.12981584668159485,0.041011787950992584,4.468928813934326,0.15913556516170502
15,0.033620063215494156,4.477742671966553,0.001,0.13817542791366577,0.04002946987748146,4.451493740081787,0.16011787950992584
16,0.0356190949678421,4.472505569458008,0.001,0.13750909268856049,0.04371316358447075,4.416485786437988,0.17337916791439056
17,0.036164283752441406,4.463529586791992,0.001,0.1407802253961563,0.03904715180397034,4.466996192932129,0.16404715180397034
18,0.03410467505455017,4.465782642364502,0.001,0.1442936807870865,0.04322200268507004,4.435024738311768,0.1714145392179489
